pickup;delivery;rate;loaded_miles;empty_miles;stops;weight;posted_trailer_type;commodity;pickup_time;delivery_time;notes;has_email;has_phone;requires_tarp;is_od;is_overweight;broker_status;broker_name;broker_mc;broker_contact;credit_score;days_to_pay;reference_id
Tampa, FL;Atlanta, GA;2400;460;40;2;22000;Conestoga;Steel;FCFS 8 AM - 3 PM;Next day 8 AM;No tarps. 1P/1D.;true;true;false;false;false;BUY
Lakeland, FL;Houston, TX;3600;950;45;2;43000;Flatbed;Pipe;FCFS 8 AM - 5 PM;Next day;Tarp required. Flatbed posting.;true;true;true;false;false;BUY
Tampa, FL;Dallas, TX;4200;1150;60;2;42000;Flatbed;Building materials;;;Flatbed posting. Need to verify Conestoga.;true;true;false;false;false;BUY
Tampa, FL;Birmingham, AL;2800;520;55;2;35000;Flatbed;Steel beams;FCFS 9 AM - 4 PM;Tomorrow AM;OD load, permits required.;true;true;false;true;false;BUY
Orlando, FL;Memphis, TN;3100;720;80;2;48000;Flatbed;Machinery;FCFS 8 AM - 6 PM;Next day;Overweight load.;true;true;false;false;true;BUY
Tampa, FL;Raleigh, NC;3000;690;50;2;38000;Conestoga;Lumber;Today 1 PM;Tomorrow 8 AM;1P/1D. Straps required.;true;true;false;false;false;BUY
Stockton, CA;Carpinteria, CA;0;362;86;2;45000;Flatbed;General Freight;May 26;;ATS Logistics/Sureway Transportation Co | MC#186013 | Contact: (320) 534-2261 | Comments: FLAT OR STEP / NO TARP | Truck: Flatbed or Step Deck | Length: 48 ft | Reference ID: 10501987 | Factoring Eligible;false;true;false;false;false;UNKNOWN
Woodland, CA;Pecos, TX;6500;1410;61;2;46000;Flatbed;Concrete Beams;2026-05-26 08:00 to 2026-05-29 15:00;2026-05-28 08:00 to 2026-06-02 15:00;Beemac Logistics LLC | MC#331705 | Contact: loads@beemaclogistics.com | Comments: Load of Concrete 58L x 111W x 7H, 46k lbs, PERMIT LOAD | Truck: Flatbed or Step Deck | Length: 48 ft | Reference ID: 3010980 | Factoring Eligible;true;false;false;true;false;UNKNOWN
Turlock, CA;Gila Bend, AZ;1715;673;108;2;45000;Flatbed;Endense Plus, IT Tote SKU# 4701;2026-05-26 06:00 to 14:30;2026-05-28 07:30 to 15:30;Stutsman Logistics Inc | MC#803573 | Contact: (319) 679-5294 / codriver@stutsmans.com | Truck: Flatbed w/Tarps | Length: 48 ft | Reference ID: 45-81124 | Factoring Eligible;true;true;true;false;false;UNKNOWN
Orland, CA;Oklahoma City, OK;3800;1720;132;2;45000;Flatbed;General Freight;May 26 - May 27;;ATS Logistics/Sureway Transportation Co | MC#186013 | Contact: (320) 534-2196 | Truck: Van or Flatbed | Length: 53 ft | Reference ID: 10329265 | Factoring Eligible;false;true;false;false;false;UNKNOWN
Orland, CA;Tulsa, OK;0;1825;132;2;45000;Flatbed;General Freight;May 26 - May 27;;ATS Logistics/Sureway Transportation Co | MC#186013 | Contact: (320) 534-2196 | Truck: Van or Flatbed | Length: 53 ft | Reference ID: 10295347 | Factoring Eligible;false;true;false;false;false;UNKNOWN
Oakland, CA;Spokane, WA;3200;865;19;2;44000;Flatbed;;May 26;;Trident Transport LLC | MC#48750 | Contact: (854) 203-0317 / loads@tridenttransport.com | Truck: Flatbed | Length: 48 ft | Reference ID: 1081093 | Factoring Eligible;true;true;false;false;false;UNKNOWN
Sacramento, CA;Englewood, CO;4000;1185;64;2;30000;Conestoga;;May 26;;Trident Transport LLC | MC#48750 | Contact: (423) 453-3254 / loads@tridenttransport.com | Truck: Conestoga | Length: 48 ft | Reference ID: 1076960 | Factoring Eligible;true;true;false;false;false;UNKNOWN
Oakland, CA;Lathrop, CA;525;63;19;2;44000;Flatbed;General Freight;May 26;;ATS Logistics/Sureway Transportation Co | MC#186013 | Contact: (320) 534-2213 | Comments: ORDER #10486514 / 6ft TARPS | Truck: Flatbed or Step Deck | Length: 48 ft | Reference ID: 10486514 | Factoring Eligible;false;true;true;false;false;UNKNOWN
Oakland, CA;Ft Sill, OK;3400;1594;19;2;15600;Flatbed;;May 26 - May 29;;Online Freight Service Inc | MC#315784 | Contact: (651) 468-6868 | Comments: Ext 6406 ext 6408 | Truck: Flatbed | Length: 53 ft | Factoring Eligible;false;true;false;false;false;UNKNOWN
Pleasant Grove, CA;Tacoma, WA;1800;729;81;2;13000;Flatbed;;May 26;;Five Star Logistics Inc | MC#908238 | Contact: (844) 300-3857 | Credit Score: 69 | Days to Pay: 25 | Comments: CAT 906 loader no bucket | Truck: Flatbed or Step Deck | Factoring status not clearly shown;false;true;false;false;false;UNKNOWN
Linden, CA;Port Angeles, WA;4200;865;97;2;43500;Flatbed;Dry Goods;May 26;;3 Rivers Logistics / 3 Rivers Expedited | MC#376181 | Contact: (479) 443-2707 | Truck: Flatbed or Step Deck | Length: 48 ft | Reference ID: 395813 | Factoring Eligible;false;true;false;false;false;UNKNOWN
Mtn View, CA;Lincoln, CA;1350;149;59;2;30000;Flatbed;RECYCLE;May 26 0700 PDT;05/26 0800-1400;Express Freight Inc / Broadrange Transportation LLC | MC#793679 | Contact: (855) 933-9773 | Truck: Flatbed | Length: 48 ft | Reference ID: 2553145 | Factoring Eligible;false;true;false;false;false;UNKNOWN
